2.f) Rang lista nekretnina izgradenih 2020. godine koje se prodaju:
+----------------+------------+-------------------------------+-------------+--------------------+------------------+--------------------+------------------+------------------+-------------+----------------------------+-----------+---------------+---------+------+--------+--------+-------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+
| Tip nekretnine | Tip ponude |            Lokacija           | Kvadaratura | Stanje nekretnine  | Godina izgradnje | Površina zemljišta |      Sprat       | Ukupna spratnost | Uknjiženost |        Tip grejanja        | Broj soba | Broj kupatila | Parking | Lift | Terasa | Balkon | Lodja |                                                                                 url                                                                                 |      Cena     |
+----------------+------------+-------------------------------+-------------+--------------------+------------------+--------------------+------------------+------------------+-------------+----------------------------+-----------+---------------+---------+------+--------+--------+-------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+
|      Stan      |  Prodaja   |        Novi Sad, Centar       |    183 m²   | Završena izgradnja |       2020       |                    |        10        |        11        |      Da     |         Centralno          |     5     |       3       |    Ne   |  Da  |   Da   |   Ne   |   Ne  |                                https://www.nekretnine.rs/stambeni-objekti/stanovi/-samo-kod-nas-u-ponudi-lux-nekretnina-/NkRcNh7q5IG/                               | 1 133 000 EUR |
|      Stan      |  Prodaja   |       Novi Sad, Bulevar       |    183 m²   |    Novogradnja     |       2020       |                    |        10        |        11        |      Da     |         Centralno          |     -     |       2       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                     https://www.nekretnine.rs/stambeni-objekti/stanovi/najlepsi-penthouse-u-novom-sadu-ne-propustite-ovakvu-priliku/NkxeNt0IRiC/                    | 1 133 000 EUR |
|      Kuca      |  Prodaja   |          Bajina Bašta         |    132 m²   |    U izgradnji     |       2020       |       3.3 ar       |                  |                  |      Da     |             -              |     -     |       2       |    Da   |  Ne  |   Da   |   Da   |   Ne  |                                         https://www.nekretnine.rs/stambeni-objekti/kuce/prodaja-kuce-na-peruccu/Nk92sz9hyBg/                                        |  999 999 EUR  |
|      Stan      |  Prodaja   |     Beograd, Savski venac     |    139 m²   |   Izvorno stanje   |       2020       |                    |        7         |        7         |      Da     |         Centralno          |     4     |       2       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                   https://www.nekretnine.rs/stambeni-objekti/stanovi/kneza-milosa-residence-penthouse/NkdKeO8JdtB/                                  |  600 000 EUR  |
|      Stan      |  Prodaja   |    Beograd, Kalenic pijaca    |    130 m²   |    Novogradnja     |       2020       |                    |        3         |        4         |      Ne     |       Klima, Ostalo        |     3     |       1       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                   https://www.nekretnine.rs/stambeni-objekti/stanovi/topolska---petrogradska-id31207/Nkyalv7RvuS/                                   |  600 000 EUR  |
|      Stan      |  Prodaja   |     Beograd, Savski venac     |    157 m²   | Završena izgradnja |       2020       |                    |        8         |        8         |      Da     |         Centralno          |     4     |       4       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                               https://www.nekretnine.rs/stambeni-objekti/stanovi/kneza-milosa-residence-cetvorosoban-stan/Nk5OuwIzeuX/                              |  540 000 EUR  |
|      Stan      |  Prodaja   |             Srbija            |  168.14 m²  | Standardna gradnja |       2020       |                    |        8         |        8         |      Ne     |             -              |     4     |       4       |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |                            https://www.nekretnine.rs/stambeni-objekti/stanovi/kneza-milosa-residence-cetvorosoban-penthouse/Nkz948aOEGU/                            |  540 000 EUR  |
|      Stan      |  Prodaja   |  Beograd, Dedinje (Beli dvor) |    209 m²   |    Novogradnja     |       2020       |                    |        4         |        4         |      Da     |    Klima, Ostalo, Podno    |     4     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                             https://www.nekretnine.rs/stambeni-objekti/stanovi/dedinje-novogradnja-bez-agencijske-provizije/Nk_uRafBU9C/                            |  451 000 EUR  |
|      Stan      |  Prodaja   |    Beograd, Vracar (Centar)   |    130 m²   |    Novogradnja     |       2020       |                    |        2         |        4         |      Da     |        Klima, Podno        |     4     |       3       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                             https://www.nekretnine.rs/stambeni-objekti/stanovi/ekskluzivno-u-prodaji-novogradnja-lux-id1139/NkfXFFJkrcp/                            |  449 000 EUR  |
|      Kuca      |  Prodaja   |        Novi Sad, Klisa        |    138 m²   |    Novogradnja     |       2020       |       597 ar       |                  |                  |      Da     |             -              |     5     |       2       |    Da   |  Ne  |   Ne   |   Ne   |   Ne  |                                                https://www.nekretnine.rs/stambeni-objekti/kuce/lux-kuca/NkRAbo04Rnv/                                                |  406 300 EUR  |
|      Stan      |  Prodaja   |       Beograd, Voždovac       |    175 m²   |    Novogradnja     |       2020       |                    |        5         |        5         |      Da     |           Ostalo           |     5     |               |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                        https://www.nekretnine.rs/stambeni-objekti/stanovi/175m2-5t-vozdovac-stan/NkepfJt-PeQ/                                       |  398 000 EUR  |
|      Stan      |  Prodaja   |        Beograd, Cubura        |    127 m²   |    Novogradnja     |       2020       |                    |        5         |        5         |      Da     |         Centralno          |     3     |       1       |    Da   |  Da  |   Da   |   Ne   |   Ne  |                                       https://www.nekretnine.rs/stambeni-objekti/stanovi/vracar-cubura-40-id9014/NkxzfyoIux3/                                       |  381 000 EUR  |
|      Stan      |  Prodaja   |        Novi Sad, Centar       |    156 m²   |                    |       2020       |                    |        2         |        11        |      Da     |         Centralno          |     4     |       3       |    Ne   |  Da  |   Da   |   Ne   |   Ne  |                                 https://www.nekretnine.rs/stambeni-objekti/stanovi/stan-u-najluksuznijoj-zgradi-u-gradu/Nko3NhL6kZU/                                |  380 070 EUR  |
