2.g) Top 30 nekretnina koje imaju najveci broj soba unutar nekretnine:
+----------------+------------+------------------------------+-------------+--------------------+------------------+--------------------+-------+------------------+-------------+-------------------+-----------+---------------+---------+------+--------+--------+-------+------------------------------------------------------------------------------------------------------------------------+---------------+
| Tip nekretnine | Tip ponude |           Lokacija           | Kvadaratura | Stanje nekretnine  | Godina izgradnje | Površina zemljišta | Sprat | Ukupna spratnost | Uknjiženost |    Tip grejanja   | Broj soba | Broj kupatila | Parking | Lift | Terasa | Balkon | Lodja |                                                          url                                                           |      Cena     |
+----------------+------------+------------------------------+-------------+--------------------+------------------+--------------------+-------+------------------+-------------+-------------------+-----------+---------------+---------+------+--------+--------+-------+------------------------------------------------------------------------------------------------------------------------+---------------+
|      Stan      |  Prodaja   |     Beograd, Stari Grad      |    221 m²   | Standardna gradnja |                  |                    |   1   |        5         |      Da     |     Centralno     |     9     |               |    Ne   |  Da  |   Da   |   Ne   |   Ne  |               https://www.nekretnine.rs/stambeni-objekti/stanovi/221m2-2t2t-stari-grad-stan/NkC-rpsRF5P/               |  795 000 EUR  |
|      Kuca      | Izdavanje  |       Beograd, Jajinci       |    330 m²   | Standardna gradnja |                  |         -          |       |                  |             |       Ostalo      |     9     |       3       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |           https://www.nekretnine.rs/stambeni-objekti/kuce/40045-izdavanje-kuca-jajinci-1500-eur/NkKTyM6Ckz3/           |   1 500 EUR   |
|      Kuca      | Izdavanje  | Beograd, Dedinje (Beli dvor) |    330 m²   | Standardna gradnja |                  |         -          |       |                  |             |     Centralno     |     9     |               |    Da   |  Ne  |   Da   |   Ne   |   Ne  |                      https://www.nekretnine.rs/stambeni-objekti/kuce/330m2-t-dedinje-kuca/76953/                       |   2 000 EUR   |
|      Stan      | Izdavanje  |    Beograd, Centar (uži)     |    190 m²   | Standardna gradnja |                  |                    |   1   |        3         |             |       Ostalo      |     9     |               |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |                   https://www.nekretnine.rs/stambeni-objekti/stanovi/190m2-centar-stan/NkLG5mmeF2P/                    |   2 000 EUR   |
|      Kuca      | Izdavanje  |       Beograd, Banjica       |    550 m²   | Standardna gradnja |                  |         -          |       |                  |             |  Klima, Centralno |     9     |       4       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |           https://www.nekretnine.rs/stambeni-objekti/kuce/13976-izdavanje-kuca-banjica-2500-eur/NkTS0mRcm9m/           |   2 500 EUR   |
|      Kuca      | Izdavanje  |       Beograd, Šumice        |    450 m²   | Standardna gradnja |                  |         -          |       |                  |             |   Klima, Ostalo   |     9     |       4       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |             https://www.nekretnine.rs/stambeni-objekti/kuce/24590-izdavanje-kuca-sumice-1400-eur/1867802/              |   1 400 EUR   |
|      Kuca      | Izdavanje  |  Beograd, Dedinje (25. maj)  |    500 m²   | Standardna gradnja |       1900       |         -          |       |                  |             |       Klima       |     9     |       3       |    Da   |  Ne  |   Da   |   Da   |   Ne  |         https://www.nekretnine.rs/stambeni-objekti/kuce/kuca-za-iznajmljivanje-dedinje-500m2-id-760-1/169738/          |   4 950 EUR   |
|      Kuca      | Izdavanje  | Beograd, Dedinje (RTV Pink)  |    600 m²   | Standardna gradnja |                  |         -          |       |                  |             |  Klima, Centralno |     9     |       6       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |           https://www.nekretnine.rs/stambeni-objekti/kuce/35919-izdavanje-kuca-dedinje-6990-eur/Nk8KXjKkLka/           |   6 990 EUR   |
|      Kuca      | Izdavanje  |      Beograd, Zvezdara       |    245 m²   | Standardna gradnja |                  |         -          |       |                  |             |   Klima, Ostalo   |     9     |       4       |    Da   |  Ne  |   Da   |   Ne   |   Ne  |            https://www.nekretnine.rs/stambeni-objekti/kuce/35621-izdavanje-kuca-zvezdara-1250-eur/1867768/             |   1 250 EUR   |
|      Kuca      |  Prodaja   |      Beograd, Barajevo       |    300 m²   | Standardna gradnja |       1985       |         -          |       |                  |      Ne     |       Ostalo      |     9     |               |    Ne   |  Ne  |   Da   |   Ne   |   Ne  |                https://www.nekretnine.rs/stambeni-objekti/kuce/300m2-4t-10a-barajevo-kuca/Nkghjc-vSnR/                 |   75 000 EUR  |
|      Kuca      |  Prodaja   |      Beograd, Batajnica      |    327 m²   | Standardna gradnja |       1900       |         -          |       |                  |      Ne     |     Centralno     |     9     |               |    Ne   |  Ne  |   Ne   |   Ne   |   Ne  |              https://www.nekretnine.rs/stambeni-objekti/kuce/batajnica-kuca-327m2-5-ari-plac/Nkg12_wCb6v/              |  175 000 EUR  |
